Date,OpenPrice,HighPrice,LowPrice,ClosePrice,WAP,Num_Shares,Num_Trades,Total_Turnover,Deliverable_Quantity,DQ_TQ,Spread_HighLow,Spread_CloseOpen
07-Sep-23,611.7,616.6,609.05,614.75,613.6311966,578338,16662,354886239,370496,64.06,7.55,3.05
06-Sep-23,611,612,605.6,610.25,608.2538702,290810,6624,176886308,112393,38.65,6.4,-0.75
05-Sep-23,609.05,618.8,608.3,611.05,612.9997297,373652,7336,229048575,160253,42.89,10.5,2
04-Sep-23,612.15,615,606.1,608.8,607.9835877,727501,15790,442308668,519142,71.36,8.9,-3.35
01-Sep-23,603.55,614.8,601.65,611.2,609.5114553,1454215,34093,886360701,485627,33.39,13.15,7.65
31-Aug-23,608.05,609.65,599.1,601.1,605.30417,1242644,20396,752177595,701894,56.48,10.55,-6.95
30-Aug-23,611.2,613,604.8,605.55,609.5187453,523411,5457,319028816,357871,68.37,8.2,-5.65
29-Aug-23,604.9,610.55,603,606.55,606.74999,524651,6803,318331989,299804,57.14,7.55,1.65
28-Aug-23,606.3,608.4,601.55,602.2,604.8192384,1317553,22381,796881402,763701,57.96,6.85,-4.1
25-Aug-23,611.4,616.3,593.5,605.45,607.268251,1616061,28017,981382537,504883,31.24,22.8,-5.95
24-Aug-23,618,619,609.7,610.85,614.3065901,392136,8970,240891729,248325,63.33,9.3,-7.15
23-Aug-23,621.6,622.65,612.35,613.6,615.6358887,574470,7762,353664349,305172,53.12,10.3,-8
22-Aug-23,620.7,626.5,618.5,619.85,622.552143,713442,18785,444154846,418659,58.68,8,-0.85
21-Aug-23,616.05,623,614.6,620.65,619.8056749,672435,14954,416779029,394241,58.63,8.4,4.6
18-Aug-23,613.55,620.05,610.75,615.75,615.7731453,722987,15457,445195979,264027,36.52,9.3,2.2
17-Aug-23,619.35,621.9,611,613.55,614.9501096,902619,22334,555065653,417267,46.23,10.9,-5.8
16-Aug-23,605.3,621.15,597.25,618.8,610.211263,587907,9961,358747473,101908,17.33,23.9,13.5
14-Aug-23,611.05,611.7,594.6,607.15,601.1771411,533603,12767,320789926,137365,25.74,17.1,-3.9
11-Aug-23,620.9,624.5,610.3,611.7,617.1171586,689271,10755,425360961,283124,41.08,14.2,-9.2
10-Aug-23,623,628.25,601.6,618.1,617.3515682,1410506,29013,870778091,374867,26.58,26.65,-4.9
09-Aug-23,610,624.1,605.5,622.8,614.0117074,868341,12691,533171540,333116,38.36,18.6,12.8
